CEBPB,BCL2A1
CEBPB,BCL6
CEBPB,BICD1
CEBPB,BRCA2
CEBPB,C9orf72
CEBPB,CAMK4
CEBPB,CCDC102B
CEBPB,CCDC7
CEBPB,CCL3L1
CEBPB,CCL5
CEBPB,CCNA2
CEBPB,CCNT2-AS1
CEBPB,CCR1
CEBPB,CCR7
CEBPB,CD68
CEBPB,CD83
CEBPB,CD96
CEBPB,CDC14B
CEBPB,CDK1
CEBPB,CENPM
CEBPB,CEP112
CEBPB,CLEC7A
CEBPB,CLECL1
CEBPB,COTL1
CEBPB,CRADD
CEBPB,CTLA4
CEBPB,CTSC
CEBPB,CUEDC1
CEBPB,CYB561A3
CEBPB,DGKH
CEBPB,DHRS9
CEBPB,DLEU2
CEBPB,DLG2
CEBPB,DOCK8
CEBPB,DPYD
CEBPB,DYNC2H1
CEBPB,EEF1A1
CEBPB,EIF1B-AS1
CEBPB,EPSTI1
CEBPB,ETV6
CEBPB,FAAH2
CEBPB,FCAR
CEBPB,FCN1
CEBPB,FGD4
CEBPB,FHIT
CEBPB,FNIP2
CEBPB,FOSL1
CEBPB,FOXP3
CEBPB,FUT8
CEBPB,GAPDH
CEBPB,GBP1
CEBPB,GEN1
CEBPB,GNS
CEBPB,GPAT3
CEBPB,GPD2
CEBPB,GPR87
CEBPB,GRAP2
CEBPB,GTDC1
CEBPB,GZMA
CEBPB,HAL
CEBPB,HELLS
CEBPB,HERC5
CEBPB,HERPUD1
CEBPB,HIBADH
CEBPB,HMGB2
CEBPB,HOPX
CEBPB,IFIT3
CEBPB,IFT74-AS1
CEBPB,IGSF6
CEBPB,IL18R1
CEBPB,IL1R1
CEBPB,IL23R
CEBPB,IL2RB
CEBPB,IL7R
CEBPB,INPP4B
CEBPB,IPCEF1
CEBPB,IRAK3
CEBPB,ISG15
CEBPB,ITGAX
CEBPB,JAML
CEBPB,KDM1B
CEBPB,KIF18B
CEBPB,KLRD1
CEBPB,LDLR
CEBPB,LIMS1
CEBPB,LINC00476
CEBPB,LINC01550
CEBPB,LINC01934
CEBPB,LINC02274
CEBPB,LINC02384
CEBPB,LMNB1-DT
CEBPB,LMO4
CEBPB,LONRF3
CEBPB,LRIG1
CEBPB,LRRC25
CEBPB,LRRFIP2
CEBPB,LRRK2
CEBPB,LUCAT1
CEBPB,LY96
CEBPB,LYPLAL1-DT
CEBPB,MAML3
CEBPB,MAP3K8
CEBPB,MAPK8
CEBPB,MCM7
CEBPB,MCTP1
CEBPB,MEIS1
CEBPB,MICU1
CEBPB,MIR155HG
CEBPB,MIR4435-2HG
CEBPB,MIS18BP1
CEBPB,MT2A
CEBPB,MTHFD1L
CEBPB,MX2
CEBPB,MYC
CEBPB,NAMPT
CEBPB,NCEH1
CEBPB,NCF2
CEBPB,NEAT1
CEBPB,NFIA
CEBPB,NFIL3
CEBPB,NFKB1
CEBPB,NFKBIA
CEBPB,NFKBIZ
CEBPB,NOTCH2
CEBPB,NRIP1
CEBPB,NUBPL
CEBPB,NUP50-DT
CEBPB,OLR1
CEBPB,OTUD7B
CEBPB,PAK1
CEBPB,PCNA
CEBPB,PDE4D
CEBPB,PDIA4
CEBPB,PFN1
CEBPB,PILRA
CEBPB,PLAUR
CEBPB,PLSCR1
CEBPB,PLXNC1
CEBPB,PMEPA1
CEBPB,POT1-AS1
CEBPB,PRDM1
CEBPB,PTPRE
CEBPB,PYCR1
CEBPB,PYHIN1
CEBPB,RAB30
CEBPB,RAB7B
CEBPB,RASGEF1B
CEBPB,RFX8
CEBPB,RGS1
CEBPB,RGS18
CEBPB,RGS6
CEBPB,RILPL2
CEBPB,RMDN2
CEBPB,RNF144B
CEBPB,RSPH3
CEBPB,RUNX1
CEBPB,S100A11
CEBPB,S100A6
CEBPB,S100A8
CEBPB,S100A9
CEBPB,SAMSN1
CEBPB,SCLT1
CEBPB,SEMA3C
CEBPB,SGK1
CEBPB,SGPP2
CEBPB,SH3RF2
CEBPB,SIRPB2
CEBPB,SLAMF7
CEBPB,SLC2A3
CEBPB,SLC41A2
CEBPB,SLC44A1
CEBPB,SLC7A11
CEBPB,SMAD1
CEBPB,SP140
CEBPB,SPRED2
CEBPB,SPTLC2
CEBPB,SRGN
CEBPB,STAT1
CEBPB,STAT4
CEBPB,STIL
CEBPB,STXBP4
CEBPB,SUGCT
CEBPB,SYK
CEBPB,SYNE1
CEBPB,SYT17
CEBPB,TLR9
CEBPB,TMSB10
CEBPB,TMTC2
CEBPB,TNF
CEBPB,TNFAIP3
CEBPB,TNFAIP6
CEBPB,TNFSF13B
CEBPB,TNIP3
CEBPB,TPX2
CEBPB,TREM1
CEBPB,TRIB1
CEBPB,TRIM28
CEBPB,UBE2J1
CEBPB,UBE3D
CEBPB,UGCG
CEBPB,ULBP1
CEBPB,USP6NL
CEBPB,VAMP5
CEBPB,VMP1
CEBPB,WDFY3-AS2
CEBPB,WDHD1
CEBPB,XRCC4
CEBPB,ZNF331
CEBPB,ZRANB2-AS2
CREBBP,ABHD5
CREBBP,APLF
CREBBP,APP
CREBBP,BAZ2B
CREBBP,BDNF-AS
CREBBP,C9orf72
CREBBP,CCDC30
CREBBP,CMSS1
CREBBP,CRADD
CREBBP,CRB1
CREBBP,CTSC
CREBBP,DTL
CREBBP,EEF1A1
CREBBP,EIF1AY
